2026-07-18 22:13:49,729 | INFO | Starting Data Validation Pipeline Test
2026-07-18 22:13:50,657 | INFO | HTML report generated: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\reports\DataQualityReport_20260718_221350.html
2026-07-18 22:13:50,657 | INFO | ================================================================================
2026-07-18 22:13:50,657 | INFO | REPORT GENERATION COMPLETED
2026-07-18 22:13:50,657 | INFO | ================================================================================
2026-07-18 22:13:50,661 | INFO | Validation results saved to: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\reports\validation_results.json
2026-07-18 22:13:50,661 | INFO | Report generated at: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\reports\DataQualityReport_20260718_221350.html
2026-07-18 22:14:58,041 | INFO | Starting Data Validation Pipeline Test
2026-07-18 22:14:58,041 | INFO | ================================================================================
2026-07-18 22:14:58,041 | INFO | DATA VALIDATION PIPELINE STARTED
2026-07-18 22:14:58,041 | INFO | ================================================================================
2026-07-18 22:14:58,041 | INFO | Starting validation for movies
2026-07-18 22:14:58,075 | INFO | Validation completed for movies: PASS (4/4 checks passed)
2026-07-18 22:14:58,075 | INFO | Starting validation for ratings
2026-07-18 22:14:58,144 | INFO | Validation completed for ratings: PASS (5/5 checks passed)
2026-07-18 22:14:58,145 | INFO | Starting validation for links
2026-07-18 22:14:58,157 | INFO | Validation completed for links: FAIL (2/4 checks passed)
2026-07-18 22:14:58,157 | INFO | Starting validation for tags
2026-07-18 22:14:58,163 | INFO | Validation completed for tags: PASS (4/4 checks passed)
2026-07-18 22:14:58,163 | INFO | ================================================================================
2026-07-18 22:14:58,163 | INFO | VALIDATION PHASE COMPLETED
2026-07-18 22:14:58,163 | INFO | ================================================================================
2026-07-18 22:14:58,163 | INFO | ================================================================================
2026-07-18 22:14:58,163 | INFO | DATA PROFILING PHASE STARTED
2026-07-18 22:14:58,163 | INFO | ================================================================================
2026-07-18 22:14:58,163 | INFO | Profiling dataset: movies
2026-07-18 22:14:58,251 | INFO | Profile generated for movies
2026-07-18 22:14:58,253 | INFO | Profiling dataset: ratings
2026-07-18 22:14:58,414 | INFO | Profile generated for ratings
2026-07-18 22:14:58,414 | INFO | Profiling dataset: links
2026-07-18 22:14:58,445 | INFO | Profile generated for links
2026-07-18 22:14:58,445 | INFO | Profiling dataset: tags
2026-07-18 22:14:58,483 | INFO | Profile generated for tags
2026-07-18 22:14:58,483 | INFO | ================================================================================
2026-07-18 22:14:58,483 | INFO | DATA PROFILING PHASE COMPLETED
2026-07-18 22:14:58,485 | INFO | ================================================================================
2026-07-18 22:14:58,485 | INFO | ================================================================================
2026-07-18 22:14:58,485 | INFO | REPORT GENERATION STARTED
2026-07-18 22:14:58,485 | INFO | ================================================================================
2026-07-18 22:14:58,487 | INFO | Generating PDF report: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\reports\DataQualityReport_20260718_221458.pdf
2026-07-18 22:14:58,546 | INFO | Report successfully generated: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\reports\DataQualityReport_20260718_221458.pdf
2026-07-18 22:14:58,548 | INFO | ================================================================================
2026-07-18 22:14:58,548 | INFO | REPORT GENERATION COMPLETED
2026-07-18 22:14:58,548 | INFO | ================================================================================
2026-07-18 22:14:58,552 | INFO | Validation results saved to: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\reports\validation_results.json
2026-07-18 22:14:58,552 | INFO | Report generated at: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\reports\DataQualityReport_20260718_221458.pdf
2026-07-18 22:20:53,633 | INFO | Starting Data Validation Pipeline Test
2026-07-18 22:20:53,633 | INFO | ================================================================================
2026-07-18 22:20:53,633 | INFO | DATA VALIDATION PIPELINE STARTED
2026-07-18 22:20:53,636 | INFO | ================================================================================
2026-07-18 22:20:53,636 | INFO | Starting validation for movies
2026-07-18 22:20:54,597 | INFO | Validation completed for movies: PASS (4/4 checks passed)
2026-07-18 22:20:54,598 | INFO | Starting validation for ratings
2026-07-18 22:20:54,699 | INFO | Validation completed for ratings: PASS (5/5 checks passed)
2026-07-18 22:20:54,699 | INFO | Starting validation for links
2026-07-18 22:20:54,714 | INFO | Validation completed for links: FAIL (2/4 checks passed)
2026-07-18 22:20:54,715 | INFO | Starting validation for tags
2026-07-18 22:20:54,719 | INFO | Validation completed for tags: PASS (4/4 checks passed)
2026-07-18 22:20:54,719 | INFO | ================================================================================
2026-07-18 22:20:54,719 | INFO | VALIDATION PHASE COMPLETED
2026-07-18 22:20:54,728 | INFO | ================================================================================
2026-07-18 22:20:54,728 | INFO | ================================================================================
2026-07-18 22:20:54,728 | INFO | DATA PROFILING PHASE STARTED
2026-07-18 22:20:54,728 | INFO | ================================================================================
2026-07-18 22:20:54,728 | INFO | Profiling dataset: movies
2026-07-18 22:20:54,827 | INFO | Profile generated for movies
2026-07-18 22:20:54,827 | INFO | Profiling dataset: ratings
2026-07-18 22:20:55,053 | INFO | Profile generated for ratings
2026-07-18 22:20:55,053 | INFO | Profiling dataset: links
2026-07-18 22:20:55,086 | INFO | Profile generated for links
2026-07-18 22:20:55,086 | INFO | Profiling dataset: tags
2026-07-18 22:20:55,131 | INFO | Profile generated for tags
2026-07-18 22:20:55,131 | INFO | ================================================================================
2026-07-18 22:20:55,133 | INFO | DATA PROFILING PHASE COMPLETED
2026-07-18 22:20:55,133 | INFO | ================================================================================
2026-07-18 22:20:55,133 | INFO | ================================================================================
2026-07-18 22:20:55,133 | INFO | REPORT GENERATION STARTED
2026-07-18 22:20:55,134 | INFO | ================================================================================
2026-07-18 22:20:55,134 | INFO | Generating PDF report: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\reports\DataQualityReport_20260718_222055.pdf
2026-07-18 22:20:55,225 | INFO | Report successfully generated: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\reports\DataQualityReport_20260718_222055.pdf
2026-07-18 22:20:55,226 | INFO | ================================================================================
2026-07-18 22:20:55,226 | INFO | REPORT GENERATION COMPLETED
2026-07-18 22:20:55,226 | INFO | ================================================================================
2026-07-18 22:20:55,231 | INFO | Validation results saved to: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\reports\validation_results.json
2026-07-18 22:20:55,231 | INFO | Report generated at: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\reports\DataQualityReport_20260718_222055.pdf
2026-07-18 22:34:17,170 | INFO | Cleaning dataset: links
2026-07-18 22:34:17,861 | INFO | Cleaning completed for links: 8 rows dropped
2026-07-18 22:34:18,032 | INFO | Cleaning dataset: movies
2026-07-18 22:34:18,082 | INFO | Cleaning completed for movies: 0 rows dropped
2026-07-18 22:34:18,082 | INFO | Cleaning dataset: ratings
2026-07-18 22:34:18,219 | INFO | Cleaning completed for ratings: 0 rows dropped
2026-07-18 22:34:18,233 | INFO | Cleaning dataset: tags
2026-07-18 22:34:18,246 | INFO | Cleaning completed for tags: 0 rows dropped
2026-07-18 22:34:18,318 | INFO | Creating user-item interaction matrix
2026-07-18 22:34:18,537 | INFO | Interaction matrix shape: (610, 9724) (users x items)
2026-07-18 22:34:19,561 | INFO | Matrix sparsity: 98.30%
2026-07-18 22:34:24,300 | INFO | Saved categorical plot: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\test_plots\movies_test_categorical.png
2026-07-18 22:34:24,379 | INFO | Analyzing dataset: ratings_test
2026-07-18 22:34:26,902 | INFO | Saved distribution plot: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\test_plots\ratings_test_distributions.png
2026-07-18 22:34:28,721 | INFO | Saved heatmap: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\test_plots\ratings_test_heatmap.png
2026-07-18 22:34:28,797 | INFO | Creating user-item interaction matrix
2026-07-18 22:34:29,447 | INFO | Interaction matrix shape: (7, 802) (users x items)
2026-07-18 22:34:29,447 | INFO | Matrix sparsity: 82.19%
2026-07-18 22:34:32,564 | INFO | Saved sparsity plot: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\test_plots\test_sparsity_sparsity.png
2026-07-18 22:34:32,589 | INFO | Cleaning dataset: ratings_test
2026-07-18 22:34:32,702 | INFO | Cleaning completed for ratings_test: 0 rows dropped
2026-07-18 22:34:32,702 | INFO | Preprocessing dataset: ratings_test
2026-07-18 22:34:32,915 | INFO | Preprocessing completed for ratings_test
2026-07-18 22:34:32,915 | INFO | Creating user-item interaction matrix
2026-07-18 22:34:33,074 | INFO | Interaction matrix shape: (610, 9724) (users x items)
2026-07-18 22:34:33,082 | INFO | Matrix sparsity: 98.30%
2026-07-18 22:34:33,099 | INFO | Analyzing dataset: ratings_test
2026-07-18 22:35:05,456 | INFO | Cleaning dataset: links
2026-07-18 22:35:05,473 | INFO | Cleaning completed for links: 8 rows dropped
2026-07-18 22:35:05,478 | INFO | Cleaning dataset: movies
2026-07-18 22:35:05,501 | INFO | Cleaning completed for movies: 0 rows dropped
2026-07-18 22:35:05,505 | INFO | Cleaning dataset: ratings
2026-07-18 22:35:05,591 | INFO | Cleaning completed for ratings: 0 rows dropped
2026-07-18 22:35:05,593 | INFO | Cleaning dataset: tags
2026-07-18 22:35:05,598 | INFO | Cleaning completed for tags: 0 rows dropped
2026-07-18 22:35:05,656 | INFO | Creating user-item interaction matrix
2026-07-18 22:35:05,797 | INFO | Interaction matrix shape: (610, 9724) (users x items)
2026-07-18 22:35:05,815 | INFO | Matrix sparsity: 98.30%
2026-07-18 22:35:07,733 | INFO | Saved categorical plot: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\test_plots\movies_test_categorical.png
2026-07-18 22:35:07,836 | INFO | Analyzing dataset: ratings_test
2026-07-18 22:35:09,957 | INFO | Saved distribution plot: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\test_plots\ratings_test_distributions.png
2026-07-18 22:35:10,589 | INFO | Saved heatmap: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\test_plots\ratings_test_heatmap.png
2026-07-18 22:35:10,664 | INFO | Creating user-item interaction matrix
2026-07-18 22:35:10,664 | INFO | Interaction matrix shape: (7, 802) (users x items)
2026-07-18 22:35:10,664 | INFO | Matrix sparsity: 82.19%
2026-07-18 22:35:11,835 | INFO | Saved sparsity plot: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\test_plots\test_sparsity_sparsity.png
2026-07-18 22:35:11,851 | INFO | Cleaning dataset: ratings_test
2026-07-18 22:35:11,938 | INFO | Cleaning completed for ratings_test: 0 rows dropped
2026-07-18 22:36:02,197 | INFO | Cleaning dataset: ratings
2026-07-18 22:36:02,301 | INFO | Cleaning completed for ratings: 0 rows dropped
2026-07-18 22:36:02,303 | INFO | Cleaning dataset: movies
2026-07-18 22:36:02,338 | INFO | Cleaning completed for movies: 0 rows dropped
2026-07-18 22:36:02,340 | INFO | Cleaning dataset: tags
2026-07-18 22:36:02,354 | INFO | Cleaning completed for tags: 0 rows dropped
2026-07-18 22:36:02,354 | INFO | Cleaning dataset: links
2026-07-18 22:36:02,379 | INFO | Cleaning completed for links: 8 rows dropped
2026-07-18 22:37:03,782 | INFO | Cleaning dataset: ratings
2026-07-18 22:37:03,877 | INFO | Cleaning completed for ratings: 0 rows dropped
2026-07-18 22:37:03,880 | INFO | Cleaning dataset: movies
2026-07-18 22:37:03,908 | INFO | Cleaning completed for movies: 0 rows dropped
2026-07-18 22:37:03,908 | INFO | Cleaning dataset: tags
2026-07-18 22:37:03,911 | INFO | Cleaning completed for tags: 0 rows dropped
2026-07-18 22:37:03,918 | INFO | Cleaning dataset: links
2026-07-18 22:37:03,935 | INFO | Cleaning completed for links: 8 rows dropped
2026-07-18 22:37:04,036 | INFO | Creating user-item interaction matrix
2026-07-18 22:37:04,046 | INFO | Interaction matrix shape: (32, 2427) (users x items)
2026-07-18 22:37:04,046 | INFO | Matrix sparsity: 93.56%
2026-07-18 22:37:05,747 | INFO | Saved distribution plot: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\test_plots\test_ratings_distributions.png
2026-07-18 22:37:46,612 | INFO | Cleaning dataset: ratings
2026-07-18 22:37:46,710 | INFO | Cleaning completed for ratings: 0 rows dropped
2026-07-18 22:37:46,712 | INFO | Cleaning dataset: movies
2026-07-18 22:37:46,737 | INFO | Cleaning completed for movies: 0 rows dropped
2026-07-18 22:37:46,745 | INFO | Cleaning dataset: tags
2026-07-18 22:37:46,753 | INFO | Cleaning completed for tags: 0 rows dropped
2026-07-18 22:37:46,753 | INFO | Cleaning dataset: links
2026-07-18 22:37:46,769 | INFO | Cleaning completed for links: 8 rows dropped
2026-07-18 22:37:46,854 | INFO | Creating user-item interaction matrix
2026-07-18 22:37:46,860 | INFO | Interaction matrix shape: (32, 2427) (users x items)
2026-07-18 22:37:46,864 | INFO | Matrix sparsity: 93.56%
2026-07-18 22:37:48,375 | INFO | Saved distribution plot: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\test_plots\test_ratings_distributions.png
2026-07-18 22:37:49,040 | INFO | Saved heatmap: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\test_plots\test_ratings_heatmap.png
2026-07-18 22:37:50,015 | INFO | Saved categorical plot: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\test_plots\test_movies_categorical.png
2026-07-18 22:37:50,033 | INFO | Creating user-item interaction matrix
2026-07-18 22:37:50,044 | INFO | Interaction matrix shape: (18, 1206) (users x items)
2026-07-18 22:37:50,048 | INFO | Matrix sparsity: 90.79%
2026-07-18 22:37:51,241 | INFO | Saved sparsity plot: F:\DM4MLPROJECT\DM4ML-Group12\RecoMart-Recommendation-Pipeline\data\test_plots\test_sparsity_sparsity.png
2026-07-18 22:37:51,258 | INFO | Cleaning dataset: ratings_pipeline
2026-07-18 22:37:51,351 | INFO | Cleaning completed for ratings_pipeline: 0 rows dropped
2026-07-18 22:37:51,351 | INFO | Preprocessing dataset: ratings_pipeline
2026-07-18 22:37:51,375 | INFO | Preprocessing completed for ratings_pipeline
2026-07-18 22:37:51,375 | INFO | Creating user-item interaction matrix
2026-07-18 22:37:51,517 | INFO | Interaction matrix shape: (610, 9724) (users x items)
2026-07-18 22:37:51,533 | INFO | Matrix sparsity: 98.30%
2026-07-18 22:42:46,235 | INFO | Validating API data: tmp1ylx_r_q.json
2026-07-18 22:42:46,649 | INFO | Validation completed: 3 valid, 0 invalid out of 3
2026-07-18 22:42:46,649 | INFO | Profiling API dataset: test_products
2026-07-18 22:43:07,164 | INFO | Validating API data: tmpto2pon5i.json
2026-07-18 22:43:07,168 | INFO | Validation completed: 3 valid, 0 invalid out of 3
2026-07-18 22:43:07,171 | INFO | Profiling API dataset: test_products
2026-07-18 22:43:07,190 | INFO | Cleaning API data: products
2026-07-18 22:43:07,215 | INFO | Cleaning API data: products
2026-07-18 22:43:07,228 | INFO | Preprocessing API data: products
2026-07-18 22:43:07,232 | INFO | Preprocessing completed for products
2026-07-18 22:43:07,232 | INFO | Extracting features from products
2026-07-18 22:43:39,197 | INFO | Validating API data: tmp009suuvz.json
2026-07-18 22:43:39,199 | INFO | Validation completed: 3 valid, 0 invalid out of 3
2026-07-18 22:44:05,528 | INFO | Validating API data: tmpri32mgxd.json
2026-07-18 22:44:05,536 | INFO | Validation completed: 3 valid, 0 invalid out of 3
2026-07-18 22:44:05,536 | INFO | Profiling API dataset: test_products
2026-07-18 22:44:05,562 | INFO | Cleaning API data: products
2026-07-18 22:44:05,581 | INFO | Cleaning API data: products
2026-07-18 22:44:05,586 | INFO | Preprocessing API data: products
2026-07-18 22:44:05,603 | INFO | Preprocessing completed for products
2026-07-18 22:44:05,603 | INFO | Extracting features from products
2026-07-18 22:44:25,032 | INFO | Validating API data: tmp1cb8dhbe.json
2026-07-18 22:44:25,035 | INFO | Validation completed: 3 valid, 0 invalid out of 3
2026-07-18 22:44:53,610 | INFO | Validating API data: tmpqrpydu1a.json
2026-07-18 22:44:53,627 | INFO | Validation completed: 3 valid, 0 invalid out of 3
2026-07-18 22:45:09,622 | INFO | Validating API data: tmpr6a5b94u.json
2026-07-18 22:45:09,627 | INFO | Validation completed: 3 valid, 0 invalid out of 3
2026-07-18 22:45:09,632 | INFO | Profiling API dataset: test_products
2026-07-18 22:45:09,643 | INFO | Cleaning API data: products
2026-07-18 22:45:09,959 | INFO | Cleaning API data: products
2026-07-18 22:45:09,984 | INFO | Preprocessing API data: products
2026-07-18 22:45:10,011 | INFO | Preprocessing completed for products
2026-07-18 22:45:10,013 | INFO | Extracting features from products
2026-07-18 22:45:10,016 | INFO | Extracted 2 features
2026-07-18 22:45:10,023 | INFO | Fusing ratings with product metadata
2026-07-18 22:45:10,058 | INFO | Fused data: 5 rows, 5 matched products
2026-07-18 22:45:10,065 | INFO | Creating hybrid features
2026-07-18 22:45:10,142 | INFO | Created 6 hybrid features
2026-07-18 22:45:34,878 | INFO | Validating API data: tmpzms_epp6.json
2026-07-18 22:45:34,879 | INFO | Validation completed: 3 valid, 0 invalid out of 3
